account_id,is_fraud
acc_0,0
acc_1,0
acc_2,0
acc_3,1
acc_4,0
acc_5,1
acc_6,0
acc_7,0
acc_8,0
acc_9,1
acc_10,0
acc_11,0
acc_12,0
acc_13,0
acc_14,0
acc_15,0
acc_16,0
acc_17,0
acc_18,0
acc_19,0
acc_20,0
acc_21,0
acc_22,1
acc_23,0
acc_24,0
acc_25,0
acc_26,0
acc_27,1
acc_28,0
acc_29,0
acc_30,0
acc_31,0
acc_32,0
acc_33,0
acc_34,0
acc_35,1
acc_36,0
acc_37,0
acc_38,0
acc_39,1
acc_40,0
acc_41,1
acc_42,0
acc_43,0
acc_44,0
acc_45,0
acc_46,0
acc_47,1
acc_48,0
acc_49,0
acc_50,0
acc_51,0
acc_52,0
acc_53,0
acc_54,0
acc_55,0
acc_56,0
acc_57,0
acc_58,1
acc_59,0
acc_60,0
acc_61,0
acc_62,0
acc_63,0
acc_64,0
acc_65,0
acc_66,0
acc_67,0
acc_68,0
acc_69,0
acc_70,0
acc_71,1
acc_72,0
acc_73,0
acc_74,0
acc_75,0
acc_76,0
acc_77,0
acc_78,0
acc_79,0
acc_80,0
acc_81,1
acc_82,0
acc_83,0
acc_84,0
acc_85,0
acc_86,0
acc_87,0
acc_88,0
acc_89,1
acc_90,0
acc_91,0
acc_92,0
acc_93,0
acc_94,0
acc_95,0
acc_96,0
acc_97,0
acc_98,1
acc_99,0
acc_100,0
acc_101,0
acc_102,0
acc_103,0
acc_104,0
acc_105,0
acc_106,0
acc_107,0
acc_108,1
acc_109,0
acc_110,0
acc_111,0
acc_112,0
acc_113,1
acc_114,0
acc_115,0
acc_116,0
acc_117,0
acc_118,0
acc_119,0
acc_120,0
acc_121,0
acc_122,0
acc_123,0
acc_124,0
acc_125,1
acc_126,0
acc_127,0
acc_128,0
acc_129,0
acc_130,0
acc_131,0
acc_132,0
acc_133,0
acc_134,0
acc_135,1
acc_136,0
acc_137,0
acc_138,0
acc_139,0
acc_140,0
acc_141,0
acc_142,1
acc_143,0
acc_144,0
acc_145,0
acc_146,0
acc_147,0
acc_148,0
acc_149,0
acc_150,0
acc_151,0
acc_152,1
acc_153,0
acc_154,1
acc_155,0
acc_156,0
acc_157,0
acc_158,1
acc_159,0
acc_160,0
acc_161,0
acc_162,0
acc_163,0
acc_164,1
acc_165,0
acc_166,0
acc_167,0
acc_168,0
acc_169,1
acc_170,1
acc_171,0
acc_172,0
acc_173,1
acc_174,0
acc_175,0
acc_176,0
acc_177,0
acc_178,0
acc_179,1
acc_180,0
acc_181,0
acc_182,0
acc_183,0
acc_184,1
acc_185,0
acc_186,0
acc_187,0
acc_188,0
acc_189,0
acc_190,0
acc_191,0
acc_192,0
acc_193,0
acc_194,0
acc_195,0
acc_196,0
acc_197,0
acc_198,0
acc_199,0
acc_200,0
acc_201,0
acc_202,0
acc_203,0
acc_204,0
acc_205,0
acc_206,0
acc_207,0
acc_208,1
acc_209,0
acc_210,0
acc_211,0
acc_212,0
acc_213,0
acc_214,0
acc_215,0
acc_216,0
acc_217,1
acc_218,0
acc_219,0
acc_220,0
acc_221,0
acc_222,0
acc_223,1
acc_224,0
acc_225,0
acc_226,0
acc_227,0
acc_228,0
acc_229,0
acc_230,0
acc_231,0
acc_232,0
acc_233,1
acc_234,0
acc_235,0
acc_236,0
acc_237,0
acc_238,0
acc_239,0
acc_240,1
acc_241,0
acc_242,0
acc_243,0
acc_244,0
acc_245,0
acc_246,0
acc_247,0
acc_248,0
acc_249,0
acc_250,0
acc_251,0
acc_252,0
acc_253,0
acc_254,0
acc_255,0
acc_256,0
acc_257,1
acc_258,0
acc_259,0
acc_260,0
acc_261,1
acc_262,0
acc_263,0
acc_264,1
acc_265,0
acc_266,0
acc_267,1
acc_268,0
acc_269,0
acc_270,0
acc_271,0
acc_272,0
acc_273,0
acc_274,0
acc_275,1
acc_276,0
acc_277,1
acc_278,0
acc_279,0
acc_280,0
acc_281,0
acc_282,0
acc_283,0
acc_284,0
acc_285,0
acc_286,0
acc_287,0
acc_288,1
acc_289,0
acc_290,0
acc_291,1
acc_292,0
acc_293,0
acc_294,0
acc_295,0
acc_296,0
